
2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name ArchiveInfo and type ChannelType.DirConfig.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name radios and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name LicorMetadata and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name PicarroMetadata and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name AerodyneMetadata and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name GPSMetadata and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name WindsonicMetadata and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name mainGUIConfig and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name AceMD and type ChannelType.Config.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Copying file from original path into archiver.

2020-02-10 06:27:48 +0000:UTC | DEBUG | MainThread | Archiver DArchiver attempting to create channel for name NosMD and type ChannelType.Config.

