
2020-02-10 06:27:48 +0000:UTC | INFO | MainThread | Object named VAN_EVNT_MGR attempted to add dataManager <Framework.Manager.EventManager.EventManager object at 0x08277D70>, but this object was not of type DataManager

2020-02-10 06:27:50 +0000:UTC | INFO | MainThread | System Started

2020-02-10 06:27:50 +0000:UTC | INFO | MainThread | Starting Main App

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: Aerodyne, index record: 1581316169.617722,20135,100

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: Picarro, index record: 1581316169.617722,21973,100

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: NOS_Alicat, index record: 1581316169.617722,22369,100

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: ACE_Alicat, index record: 1581316169.617722,22363,100

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: airmar, index record: 1581316169.617722,4532,100

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: Gill, index record: 1581316169.617722,12078,100

2020-02-10 06:28:00 +0000:UTC | DEBUG | DArchiver_DestinationThread | channel: GPS, index record: 1581316169.617722,21595,100
